任意期間ダム諸量検索結果
水系名,十勝川
河川名,十勝川
観測所名,十勝ダム
観測所記号,1368010829060
#
#年月日,時刻,流域平均雨量,流域平均雨量属性,貯水量,貯水量属性,流入量,流入量属性,放流量,放流量属性,貯水率,貯水率属性
#属性　$:欠測 -:未受信
#
2016/1/1,01:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,02:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,03:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,04:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,05:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,06:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,07:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,08:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,09:00,0.0, ,49538, ,0.70, ,0.00, ,65.2, 
2016/1/1,10:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,11:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,12:00,0.0, ,49538, ,0.00, ,0.00, ,65.2, 
2016/1/1,13:00,0.0, ,49569, ,8.70, ,0.00, ,65.2, 
2016/1/1,14:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,15:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,16:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,17:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,18:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,19:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,20:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,21:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,22:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,23:00,0.0, ,49569, ,0.00, ,0.00, ,65.2, 
2016/1/1,24:00,0.0, ,49600, ,8.70, ,0.00, ,65.3, 
2016/1/2,01:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,02:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,03:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,04:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,05:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,06:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,07:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,08:00,0.0, ,49600, ,0.00, ,0.00, ,65.3, 
2016/1/2,09:00,0.0, ,49632, ,0.74, ,0.00, ,65.3, 
2016/1/2,10:00,1.9, ,49632, ,0.00, ,0.00, ,65.3, 
2016/1/2,11:00,0.0, ,49632, ,0.00, ,0.00, ,65.3, 
2016/1/2,12:00,0.9, ,49632, ,0.00, ,0.00, ,65.3, 
2016/1/2,13:00,0.0, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,14:00,0.0, ,49632, ,8.70, ,0.00, ,65.3, 
2016/1/2,15:00,0.9, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,16:00,0.1, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,17:00,0.9, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,18:00,0.9, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,19:00,0.0, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,20:00,0.9, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,21:00,1.0, ,49663, ,0.00, ,0.00, ,65.3, 
2016/1/2,22:00,1.9, ,49694, ,1.34, ,0.00, ,65.4, 
2016/1/2,23:00,0.9, ,49694, ,0.00, ,0.00, ,65.4, 
